nom_site,adresse,cp,idpw,nombre_de_borne_wifi,etat,latitude,longitude
STADE CHARLETY,99 BOULEVARD KELLERMANN,75013,PW0169,9,Opérationnel,48.819334380975064,2.346701652733019
SQUARE HELOISE ET ABELARD - PARIS NATURE MAISON DES 5 SENS,22 RUE PIERRE GOURDAULT,75013,PW0066,1,Opérationnel,48.830919043595564,2.3701069536371744
CENTRE SPORTIF GEORGES CARPENTIER - BATIMENT TENNIS,81 BOULEVARD MASSENA,75013,PW0103-2,1,Opérationnel,48.82049066987802,2.367308749603463
PREFOURRIERE CHARLETY,8 RUE THOMIRE,75013,PW0224,1,Opérationnel,48.81939645595855,2.3483816487117286
CENTRE SPORTIF DUNOIS,70 RUE DUNOIS,75013,PW0079,1,Opérationnel,48.833170321660546,2.366278587662253
SQUARE HENRI CADIOU,69 BOULEVARD ARAGO,75013,PW0172,2,Opérationnel,48.834649048099344,2.342222542830244
SQUARE GEORGES DUHAMEL,RUE JEAN ANOUILH,75013,PW0171,1,Opérationnel,48.83191582844802,2.377611889269577
FOURRIERE CHEVALERET,5 SQUARE DUNOIS,75013,PW0225,1,Opérationnel,48.833753192433,2.366942112192092
SQUARE JEAN CLAUDE NICOLAS FORESTIER,79 BOULEVARD KELLERMANN,75013,PW0179,2,Opérationnel,48.81983056005852,2.3477547551079145
CENTRE SPORTIF GEORGES CARPENTIER - BUREAU,81 BOULEVARD MASSENA (BUREAU CENTRE SPORTIF),75013,PW0103-1,2,Opérationnel,48.82090327022333,2.368446174308279
SQUARE PAUL GRIMAULT,20 RUE DE LA FONTAINE A MULARD,75013,PW0180,1,Opérationnel,48.82304357972498,2.3487751245987023
PARC DE CHOISY,160 AVENUE DE CHOISY,75013,PW0157,2,Opérationnel,48.82818582306962,2.358626737402552
SQUARE GUSTAVE MESUREUR,105 RUE JEANNE D ARC,75013,PW0178,1,Opérationnel,48.83384615455623,2.362791895302857
BIBLIOTHEQUE ITALIE,213 BOULEVARD VINCENT AURIOL,75013,PW0114,1,Opérationnel,48.83078680904554,2.3567544767297495
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE  13,11 RUE CAILLAUX,75013,PW0039,1,Opérationnel,48.82263334522024,2.361318112511235
PERMIS DE CONSTRUIRE - USAGER,6 PLACE LEVI STRAUSS,75013,PW0223,1,Opérationnel,48.830418305303915,2.3752863240245206
BIBLIOTHEQUE GLACIERE MARINA TSVETAÏEVA,132 RUE DE LA GLACIERE,75013,PW0125,2,Opérationnel,48.82731805418922,2.3419937169845078
PARC DE CHOISY,160 AVENUE DE CHOISY,75013,PW0062,2,Opérationnel,48.82775099396245,2.35959561394622
CENTRE SPORTIF CHARLES MOUREU,17 AVENUE EDISON,75013,PW0074,1,Opérationnel,48.82780123635454,2.36413466137506
SQUARE DE LA RAFFINERIE SAY,147 BOULEVARD VINCENT AURIOL,75013,PW0174,1,Opérationnel,48.83256937742215,2.362043401044535
SQUARE RENE LEGALL,43 RUE CORVISART,75013,PW0069,1,Opérationnel,48.832206799973164,2.3474197664308325
MAIRIE DU 13 EME,1 PLACE D ITALIE,75013,PW0013,2,Opérationnel,48.83231441086374,2.3553133492379694
